date,food_item,food_category,quantity_prepared,quantity_sold,quantity_wasted,day_of_week,is_weekend,weather,temperature,special_event,customer_count,month,unit_cost,total_cost,waste_cost
2024-10-28,Grilled Chicken,mains,41.76,33.61,8.91,Monday,0,rainy,18.4,none,130,10,5.28,220.37,47.04
2024-10-28,Paneer,mains,54.89,44.17,9.84,Monday,0,rainy,18.4,none,130,10,12.48,684.82,122.77
2024-10-28,Pasta ,mains,67.01,49.29,17.46,Monday,0,rainy,18.4,none,130,10,7.04,471.98,122.96
2024-10-28,Margherita Pizza,mains,49.23,35.11,13.91,Monday,0,rainy,18.4,none,130,10,4.75,233.84,66.06
2024-10-28,Chocolate Cake,desserts,26.04,21.92,4.5,Monday,0,rainy,18.4,none,130,10,6.12,159.26,27.51
2024-10-28,Cake,desserts,32.89,25.13,8.09,Monday,0,rainy,18.4,none,130,10,6.08,199.87,49.19
2024-10-28,French Fries,sides,28.7,21.31,7.89,Monday,0,rainy,18.4,none,130,10,11.12,319.09,87.73
2024-10-28,Garlic Bread,sides,34.43,26.36,7.72,Monday,0,rainy,18.4,none,130,10,11.89,409.43,91.82
2024-10-28,Corn Soup,soups,11.11,9.18,1.78,Monday,0,rainy,18.4,none,130,10,5.51,61.2,9.81
2024-10-28,Burger,mains,58.47,38.9,18.99,Monday,0,rainy,18.4,none,130,10,11.48,671.07,217.91
2024-10-28,Fish,mains,59.98,50.98,9.57,Monday,0,rainy,18.4,none,130,10,13.97,837.66,133.66
2024-10-28,Salad,salads,20.91,17.64,3.16,Monday,0,rainy,18.4,none,130,10,7.28,152.27,23.0
2024-10-28,Ice Cream,desserts,28.83,22.85,5.83,Monday,0,rainy,18.4,none,130,10,12.83,369.83,74.84
2024-10-28,Onion Rings,sides,34.11,26.71,7.15,Monday,0,rainy,18.4,none,130,10,6.77,231.04,48.4
2024-10-28,Tomato Soup,soups,12.1,8.51,3.47,Monday,0,rainy,18.4,none,130,10,14.56,176.26,50.53
2024-10-29,Grilled Chicken,mains,86.13,59.44,26.63,Tuesday,0,cloudy,29.2,wedding,274,10,13.64,1175.16,363.32
2024-10-29,Paneer,mains,93.91,75.29,17.6,Tuesday,0,cloudy,29.2,wedding,274,10,5.69,534.16,100.14
2024-10-29,Pasta ,mains,118.66,96.62,23.76,Tuesday,0,cloudy,29.2,wedding,274,10,6.73,798.99,159.98
2024-10-29,Margherita Pizza,mains,121.74,87.75,31.25,Tuesday,0,cloudy,29.2,wedding,274,10,8.98,1093.32,280.63
2024-10-29,Chocolate Cake,desserts,59.5,47.38,13.17,Tuesday,0,cloudy,29.2,wedding,274,10,10.26,610.68,135.16
2024-10-29,Cake,desserts,42.09,33.98,7.5,Tuesday,0,cloudy,29.2,wedding,274,10,7.89,331.94,59.17
2024-10-29,French Fries,sides,87.18,73.62,13.56,Tuesday,0,cloudy,29.2,wedding,274,10,11.6,1011.18,157.26
2024-10-29,Garlic Bread,sides,70.0,46.32,25.84,Tuesday,0,cloudy,29.2,wedding,274,10,10.29,720.55,265.94
2024-10-29,Corn Soup,soups,27.74,22.17,6.01,Tuesday,0,cloudy,29.2,wedding,274,10,13.91,385.73,83.6
2024-10-29,Burger,mains,110.42,89.91,21.72,Tuesday,0,cloudy,29.2,wedding,274,10,5.49,606.23,119.24
2024-10-29,Fish,mains,91.55,72.65,18.78,Tuesday,0,cloudy,29.2,wedding,274,10,10.31,943.96,193.62
2024-10-29,Salad,salads,44.81,36.34,7.64,Tuesday,0,cloudy,29.2,wedding,274,10,14.09,631.26,107.62
2024-10-29,Ice Cream,desserts,51.75,37.24,13.29,Tuesday,0,cloudy,29.2,wedding,274,10,5.84,302.15,77.6
2024-10-29,Onion Rings,sides,53.4,36.61,15.15,Tuesday,0,cloudy,29.2,wedding,274,10,12.0,640.62,181.77
2024-10-29,Tomato Soup,soups,31.58,25.42,5.98,Tuesday,0,cloudy,29.2,wedding,274,10,6.34,200.2,37.94
2024-10-30,Grilled Chicken,mains,37.24,26.56,10.1,Wednesday,0,stormy,2.6,none,94,10,12.29,457.64,124.07
2024-10-30,Paneer,mains,48.67,35.21,12.17,Wednesday,0,stormy,2.6,none,94,10,7.67,373.56,93.37
2024-10-30,Pasta ,mains,42.26,30.22,13.13,Wednesday,0,stormy,2.6,none,94,10,13.69,578.34,179.78
2024-10-30,Margherita Pizza,mains,43.17,32.22,11.9,Wednesday,0,stormy,2.6,none,94,10,11.89,513.26,141.47
2024-10-30,Chocolate Cake,desserts,15.22,11.73,3.36,Wednesday,0,stormy,2.6,none,94,10,9.31,141.75,31.25
2024-10-30,Cake,desserts,17.38,12.29,4.59,Wednesday,0,stormy,2.6,none,94,10,7.41,128.77,34.03
2024-10-30,French Fries,sides,18.43,13.91,4.46,Wednesday,0,stormy,2.6,none,94,10,6.26,115.37,27.9
2024-10-30,Garlic Bread,sides,24.78,17.27,8.05,Wednesday,0,stormy,2.6,none,94,10,9.98,247.23,80.3
2024-10-30,Corn Soup,soups,10.33,8.83,1.51,Wednesday,0,stormy,2.6,none,94,10,12.9,133.27,19.41
2024-10-30,Burger,mains,43.73,33.43,10.04,Wednesday,0,stormy,2.6,none,94,10,6.88,301.06,69.15
2024-10-30,Fish,mains,28.54,24.05,4.91,Wednesday,0,stormy,2.6,none,94,10,4.29,122.3,21.04
2024-10-30,Salad,salads,13.63,11.22,2.21,Wednesday,0,stormy,2.6,none,94,10,11.22,152.85,24.76
2024-10-30,Ice Cream,desserts,13.53,10.81,2.81,Wednesday,0,stormy,2.6,none,94,10,9.54,129.08,26.83
2024-10-30,Onion Rings,sides,23.09,17.51,5.36,Wednesday,0,stormy,2.6,none,94,10,11.4,263.24,61.13
2024-10-30,Tomato Soup,soups,10.18,9.22,0.9,Wednesday,0,stormy,2.6,none,94,10,15.0,152.65,13.48
2024-10-31,Grilled Chicken,mains,73.94,52.74,22.93,Thursday,0,sunny,33.2,none,156,10,8.6,635.85,197.15
2024-10-31,Paneer,mains,73.51,50.09,22.33,Thursday,0,sunny,33.2,none,156,10,8.63,634.6,192.82
2024-10-31,Pasta ,mains,68.21,44.39,21.9,Thursday,0,sunny,33.2,none,156,10,3.59,245.11,78.71
2024-10-31,Margherita Pizza,mains,67.62,54.67,13.37,Thursday,0,sunny,33.2,none,156,10,7.26,491.04,97.06
2024-10-31,Chocolate Cake,desserts,25.65,20.26,5.74,Thursday,0,sunny,33.2,none,156,10,12.91,331.22,74.12
2024-10-31,Cake,desserts,35.66,23.62,12.26,Thursday,0,sunny,33.2,none,156,10,9.25,330.03,113.45
2024-10-31,French Fries,sides,33.75,25.63,8.77,Thursday,0,sunny,33.2,none,156,10,10.69,360.68,93.72
2024-10-31,Garlic Bread,sides,38.13,26.76,11.75,Thursday,0,sunny,33.2,none,156,10,12.63,481.75,148.42
2024-10-31,Corn Soup,soups,16.02,12.0,3.88,Thursday,0,sunny,33.2,none,156,10,3.42,54.84,13.29
2024-10-31,Burger,mains,74.43,59.34,15.66,Thursday,0,sunny,33.2,none,156,10,3.57,265.91,55.96
2024-10-31,Fish,mains,56.61,38.55,19.42,Thursday,0,sunny,33.2,none,156,10,6.78,383.91,131.66
2024-10-31,Salad,salads,17.48,14.22,3.15,Thursday,0,sunny,33.2,none,156,10,13.27,231.94,41.74
2024-10-31,Ice Cream,desserts,33.82,25.58,7.75,Thursday,0,sunny,33.2,none,156,10,6.68,225.72,51.75
2024-10-31,Onion Rings,sides,41.7,27.39,13.06,Thursday,0,sunny,33.2,none,156,10,5.34,222.88,69.78
2024-10-31,Tomato Soup,soups,20.05,15.45,4.3,Thursday,0,sunny,33.2,none,156,10,11.69,234.39,50.28
2024-11-01,Grilled Chicken,mains,102.65,85.0,17.02,Friday,0,sunny,34.6,none,237,11,7.38,757.93,125.66
2024-11-01,Paneer,mains,110.6,89.9,19.69,Friday,0,sunny,34.6,none,237,11,4.79,529.48,94.27
2024-11-01,Pasta ,mains,103.98,81.37,24.03,Friday,0,sunny,34.6,none,237,11,14.92,1551.14,358.44
2024-11-01,Margherita Pizza,mains,73.21,54.6,19.47,Friday,0,sunny,34.6,none,237,11,6.79,497.11,132.22
2024-11-01,Chocolate Cake,desserts,60.48,45.88,15.54,Friday,0,sunny,34.6,none,237,11,5.31,321.11,82.49
2024-11-01,Cake,desserts,58.08,46.39,10.95,Friday,0,sunny,34.6,none,237,11,11.86,689.1,129.86
2024-11-01,French Fries,sides,42.63,34.68,7.98,Friday,0,sunny,34.6,none,237,11,12.12,516.54,96.67
2024-11-01,Garlic Bread,sides,54.64,36.96,17.15,Friday,0,sunny,34.6,none,237,11,8.65,472.41,148.25
2024-11-01,Corn Soup,soups,23.59,15.63,7.41,Friday,0,sunny,34.6,none,237,11,3.77,88.88,27.92
2024-11-01,Burger,mains,111.24,76.47,32.05,Friday,0,sunny,34.6,none,237,11,3.24,360.64,103.91
2024-11-01,Fish,mains,74.72,60.68,13.57,Friday,0,sunny,34.6,none,237,11,6.49,484.97,88.11
2024-11-01,Salad,salads,33.77,27.12,6.3,Friday,0,sunny,34.6,none,237,11,9.29,313.66,58.54
2024-11-01,Ice Cream,desserts,47.29,34.36,13.62,Friday,0,sunny,34.6,none,237,11,3.02,142.86,41.13
2024-11-01,Onion Rings,sides,54.73,43.25,10.45,Friday,0,sunny,34.6,none,237,11,8.28,453.17,86.52
2024-11-01,Tomato Soup,soups,18.14,14.68,3.58,Friday,0,sunny,34.6,none,237,11,3.91,70.94,13.98
2024-11-02,Grilled Chicken,mains,67.7,50.82,16.4,Saturday,1,stormy,12.7,none,168,11,6.87,465.18,112.67
2024-11-02,Paneer,mains,50.8,35.16,15.08,Saturday,1,stormy,12.7,none,168,11,6.28,318.9,94.66
2024-11-02,Pasta ,mains,70.44,58.32,12.02,Saturday,1,stormy,12.7,none,168,11,10.64,749.66,127.92
2024-11-02,Margherita Pizza,mains,66.56,46.83,18.97,Saturday,1,stormy,12.7,none,168,11,3.85,256.06,72.96
2024-11-02,Chocolate Cake,desserts,25.54,19.95,5.85,Saturday,1,stormy,12.7,none,168,11,14.91,380.67,87.27
2024-11-02,Cake,desserts,26.96,18.87,8.05,Saturday,1,stormy,12.7,none,168,11,5.38,145.07,43.31
2024-11-02,French Fries,sides,41.51,34.72,7.44,Saturday,1,stormy,12.7,none,168,11,5.76,239.07,42.87
2024-11-02,Garlic Bread,sides,50.92,34.6,17.84,Saturday,1,stormy,12.7,none,168,11,10.94,557.06,195.16
2024-11-02,Corn Soup,soups,16.34,14.53,1.64,Saturday,1,stormy,12.7,none,168,11,6.49,106.04,10.61
2024-11-02,Burger,mains,65.63,44.04,20.85,Saturday,1,stormy,12.7,none,168,11,8.61,565.08,179.51
2024-11-02,Fish,mains,79.55,59.19,21.29,Saturday,1,stormy,12.7,none,168,11,3.5,278.66,74.57
2024-11-02,Salad,salads,23.64,15.51,7.98,Saturday,1,stormy,12.7,none,168,11,8.86,209.54,70.7
2024-11-02,Ice Cream,desserts,30.76,23.1,7.17,Saturday,1,stormy,12.7,none,168,11,3.67,112.79,26.3
2024-11-02,Onion Rings,sides,47.57,39.04,7.92,Saturday,1,stormy,12.7,none,168,11,4.88,231.97,38.64
2024-11-02,Tomato Soup,soups,13.33,11.93,1.39,Saturday,1,stormy,12.7,none,168,11,10.51,140.07,14.57
2024-11-03,Grilled Chicken,mains,58.06,37.84,20.32,Sunday,1,stormy,20.7,none,198,11,10.24,594.84,208.19
2024-11-03,Paneer,mains,62.42,49.24,14.45,Sunday,1,stormy,20.7,none,198,11,3.44,214.73,49.72
2024-11-03,Pasta ,mains,91.75,67.42,23.39,Sunday,1,stormy,20.7,none,198,11,12.83,1177.55,300.18
2024-11-03,Margherita Pizza,mains,71.8,52.17,18.84,Sunday,1,stormy,20.7,none,198,11,12.48,896.1,235.17
2024-11-03,Chocolate Cake,desserts,49.37,33.96,14.36,Sunday,1,stormy,20.7,none,198,11,9.81,484.22,140.81
2024-11-03,Cake,desserts,29.83,20.18,8.75,Sunday,1,stormy,20.7,none,198,11,9.66,288.07,84.5
2024-11-03,French Fries,sides,41.17,33.88,7.18,Sunday,1,stormy,20.7,none,198,11,6.81,280.56,48.92
2024-11-03,Garlic Bread,sides,56.74,45.92,10.88,Sunday,1,stormy,20.7,none,198,11,9.69,549.78,105.4
2024-11-03,Corn Soup,soups,15.06,14.04,0.94,Sunday,1,stormy,20.7,none,198,11,12.03,181.15,11.31
2024-11-03,Burger,mains,95.86,79.82,15.44,Sunday,1,stormy,20.7,none,198,11,13.37,1281.99,206.52
2024-11-03,Fish,mains,58.23,44.11,15.06,Sunday,1,stormy,20.7,none,198,11,14.96,871.37,225.28
2024-11-03,Salad,salads,26.74,18.95,7.72,Sunday,1,stormy,20.7,none,198,11,10.72,286.59,82.75
2024-11-03,Ice Cream,desserts,47.17,35.55,12.1,Sunday,1,stormy,20.7,none,198,11,3.21,151.59,38.9
2024-11-03,Onion Rings,sides,45.12,32.28,13.52,Sunday,1,stormy,20.7,none,198,11,4.36,196.73,58.96
2024-11-03,Tomato Soup,soups,21.7,20.41,1.2,Sunday,1,stormy,20.7,none,198,11,10.48,227.44,12.54
2024-11-04,Grilled Chicken,mains,78.0,62.7,16.74,Monday,0,rainy,24.8,none,184,11,6.5,507.29,108.84
2024-11-04,Paneer,mains,76.31,59.56,17.46,Monday,0,rainy,24.8,none,184,11,12.73,971.19,222.22
2024-11-04,Pasta ,mains,76.11,50.02,28.05,Monday,0,rainy,24.8,none,184,11,11.54,878.43,323.75
2024-11-04,Margherita Pizza,mains,82.85,66.71,16.05,Monday,0,rainy,24.8,none,184,11,4.48,371.15,71.89
2024-11-04,Chocolate Cake,desserts,45.67,34.7,10.9,Monday,0,rainy,24.8,none,184,11,6.98,318.79,76.06
2024-11-04,Cake,desserts,45.21,37.8,7.8,Monday,0,rainy,24.8,none,184,11,8.45,382.06,65.95
2024-11-04,French Fries,sides,51.23,41.76,10.38,Monday,0,rainy,24.8,none,184,11,7.65,392.0,79.42
2024-11-04,Garlic Bread,sides,34.47,27.66,6.57,Monday,0,rainy,24.8,none,184,11,12.61,434.79,82.84
2024-11-04,Corn Soup,soups,14.6,12.01,2.74,Monday,0,rainy,24.8,none,184,11,11.32,165.32,31.05
2024-11-04,Burger,mains,89.81,73.16,17.05,Monday,0,rainy,24.8,none,184,11,6.41,575.82,109.31
2024-11-04,Fish,mains,69.87,52.45,17.18,Monday,0,rainy,24.8,none,184,11,9.97,696.64,171.31
2024-11-04,Salad,salads,24.16,15.74,7.7,Monday,0,rainy,24.8,none,184,11,11.86,286.49,91.24
2024-11-04,Ice Cream,desserts,30.7,24.96,6.31,Monday,0,rainy,24.8,none,184,11,9.79,300.38,61.73
2024-11-04,Onion Rings,sides,37.22,24.76,13.1,Monday,0,rainy,24.8,none,184,11,5.22,194.27,68.36
2024-11-04,Tomato Soup,soups,19.48,15.06,4.61,Monday,0,rainy,24.8,none,184,11,8.41,163.89,38.76
2024-11-05,Grilled Chicken,mains,28.45,20.2,8.62,Tuesday,0,stormy,23.7,none,90,11,11.52,327.71,99.3
2024-11-05,Paneer,mains,46.48,37.51,8.83,Tuesday,0,stormy,23.7,none,90,11,8.54,397.12,75.45
2024-11-05,Pasta ,mains,33.8,28.63,4.9,Tuesday,0,stormy,23.7,none,90,11,9.45,319.28,46.31
2024-11-05,Margherita Pizza,mains,31.15,23.19,8.07,Tuesday,0,stormy,23.7,none,90,11,8.23,256.27,66.36
2024-11-05,Chocolate Cake,desserts,21.31,16.93,4.68,Tuesday,0,stormy,23.7,none,90,11,4.68,99.71,21.89
2024-11-05,Cake,desserts,23.38,19.6,3.71,Tuesday,0,stormy,23.7,none,90,11,8.62,201.44,31.94
2024-11-05,French Fries,sides,16.47,12.13,3.91,Tuesday,0,stormy,23.7,none,90,11,3.84,63.3,15.03
2024-11-05,Garlic Bread,sides,18.97,14.56,4.3,Tuesday,0,stormy,23.7,none,90,11,6.2,117.57,26.67
2024-11-05,Corn Soup,soups,8.94,8.2,0.74,Tuesday,0,stormy,23.7,none,90,11,5.29,47.23,3.93
2024-11-05,Burger,mains,45.63,30.1,15.88,Tuesday,0,stormy,23.7,none,90,11,4.56,207.97,72.4
2024-11-05,Fish,mains,40.92,31.16,9.51,Tuesday,0,stormy,23.7,none,90,11,5.29,216.45,50.3
2024-11-05,Salad,salads,15.65,12.0,3.96,Tuesday,0,stormy,23.7,none,90,11,7.43,116.36,29.42
2024-11-05,Ice Cream,desserts,22.01,14.98,6.74,Tuesday,0,stormy,23.7,none,90,11,12.95,284.9,87.21
2024-11-05,Onion Rings,sides,21.3,16.31,5.34,Tuesday,0,stormy,23.7,none,90,11,3.78,80.43,20.16
2024-11-05,Tomato Soup,soups,8.38,7.39,1.07,Tuesday,0,stormy,23.7,none,90,11,7.76,65.05,8.29
2024-11-06,Grilled Chicken,mains,86.94,72.3,15.42,Wednesday,0,cloudy,13.5,none,222,11,14.05,1221.19,216.58
2024-11-06,Paneer,mains,80.03,64.55,13.94,Wednesday,0,cloudy,13.5,none,222,11,4.59,367.05,63.94
2024-11-06,Pasta ,mains,96.91,69.76,25.48,Wednesday,0,cloudy,13.5,none,222,11,9.37,907.96,238.7
2024-11-06,Margherita Pizza,mains,90.7,75.11,14.4,Wednesday,0,cloudy,13.5,none,222,11,4.74,430.34,68.32
2024-11-06,Chocolate Cake,desserts,35.21,23.38,11.63,Wednesday,0,cloudy,13.5,none,222,11,11.8,415.38,137.17
2024-11-06,Cake,desserts,50.0,35.48,14.75,Wednesday,0,cloudy,13.5,none,222,11,14.31,715.48,211.11
2024-11-06,French Fries,sides,43.54,32.18,12.23,Wednesday,0,cloudy,13.5,none,222,11,10.92,475.64,133.61
2024-11-06,Garlic Bread,sides,62.86,52.41,10.67,Wednesday,0,cloudy,13.5,none,222,11,10.04,631.26,107.18
2024-11-06,Corn Soup,soups,19.77,12.85,7.14,Wednesday,0,cloudy,13.5,none,222,11,3.99,78.88,28.48
2024-11-06,Burger,mains,113.87,94.29,20.37,Wednesday,0,cloudy,13.5,none,222,11,13.76,1567.21,280.31
2024-11-06,Fish,mains,65.7,53.31,12.89,Wednesday,0,cloudy,13.5,none,222,11,13.31,874.67,171.62
2024-11-06,Salad,salads,23.33,19.37,3.77,Wednesday,0,cloudy,13.5,none,222,11,4.78,111.43,18.01
2024-11-06,Ice Cream,desserts,54.19,37.08,17.61,Wednesday,0,cloudy,13.5,none,222,11,4.87,263.95,85.79
2024-11-06,Onion Rings,sides,63.37,47.32,16.21,Wednesday,0,cloudy,13.5,none,222,11,11.03,699.16,178.91
2024-11-06,Tomato Soup,soups,20.97,16.12,5.16,Wednesday,0,cloudy,13.5,none,222,11,7.96,166.8,41.08
2024-11-07,Grilled Chicken,mains,59.21,46.79,12.84,Thursday,0,cloudy,17.4,none,193,11,8.57,507.7,110.11
2024-11-07,Paneer,mains,92.16,66.83,26.24,Thursday,0,cloudy,17.4,none,193,11,13.59,1252.26,356.6
2024-11-07,Pasta ,mains,79.57,60.42,19.43,Thursday,0,cloudy,17.4,none,193,11,13.18,1048.43,256.05
2024-11-07,Margherita Pizza,mains,57.67,43.5,15.57,Thursday,0,cloudy,17.4,none,193,11,14.2,818.93,221.13
2024-11-07,Chocolate Cake,desserts,38.59,32.11,6.5,Thursday,0,cloudy,17.4,none,193,11,13.82,533.49,89.82
2024-11-07,Cake,desserts,45.21,38.3,6.23,Thursday,0,cloudy,17.4,none,193,11,8.47,383.01,52.79
2024-11-07,French Fries,sides,58.47,47.11,11.98,Thursday,0,cloudy,17.4,none,193,11,5.62,328.86,67.4
2024-11-07,Garlic Bread,sides,35.21,25.11,9.8,Thursday,0,cloudy,17.4,none,193,11,6.48,228.08,63.49
2024-11-07,Corn Soup,soups,19.17,13.37,6.38,Thursday,0,cloudy,17.4,none,193,11,13.17,252.42,84.01
2024-11-07,Burger,mains,76.74,59.91,16.57,Thursday,0,cloudy,17.4,none,193,11,12.13,930.51,200.91
2024-11-07,Fish,mains,77.73,52.91,25.16,Thursday,0,cloudy,17.4,none,193,11,13.93,1083.08,350.64
2024-11-07,Salad,salads,30.02,24.33,5.31,Thursday,0,cloudy,17.4,none,193,11,3.34,100.13,17.72
2024-11-07,Ice Cream,desserts,44.29,30.33,12.8,Thursday,0,cloudy,17.4,none,193,11,10.07,446.09,128.95
2024-11-07,Onion Rings,sides,34.99,25.51,9.05,Thursday,0,cloudy,17.4,none,193,11,13.12,459.03,118.73
2024-11-07,Tomato Soup,soups,20.13,14.89,4.89,Thursday,0,cloudy,17.4,none,193,11,13.31,267.99,65.02
2024-11-08,Grilled Chicken,mains,58.89,41.48,18.67,Friday,0,rainy,16.5,none,187,11,8.7,512.24,162.36
2024-11-08,Paneer,mains,83.51,68.36,14.53,Friday,0,rainy,16.5,none,187,11,3.96,330.99,57.61
2024-11-08,Pasta ,mains,57.02,42.97,15.43,Friday,0,rainy,16.5,none,187,11,12.88,734.34,198.64
2024-11-08,Margherita Pizza,mains,69.6,47.72,23.58,Friday,0,rainy,16.5,none,187,11,13.12,912.92,309.24
2024-11-08,Chocolate Cake,desserts,44.26,31.66,11.94,Friday,0,rainy,16.5,none,187,11,14.12,624.98,168.61
2024-11-08,Cake,desserts,34.79,28.01,7.4,Friday,0,rainy,16.5,none,187,11,8.54,297.02,63.18
2024-11-08,French Fries,sides,37.52,24.77,13.79,Friday,0,rainy,16.5,none,187,11,7.66,287.32,105.59
2024-11-08,Garlic Bread,sides,47.88,37.28,9.91,Friday,0,rainy,16.5,none,187,11,14.49,693.66,143.63
2024-11-08,Corn Soup,soups,13.27,9.83,3.68,Friday,0,rainy,16.5,none,187,11,4.13,54.84,15.2
2024-11-08,Burger,mains,54.53,46.0,7.82,Friday,0,rainy,16.5,none,187,11,3.74,203.94,29.25
2024-11-08,Fish,mains,94.03,64.14,27.1,Friday,0,rainy,16.5,none,187,11,12.79,1202.53,346.63
2024-11-08,Salad,salads,25.4,19.16,5.87,Friday,0,rainy,16.5,none,187,11,8.53,216.6,50.02
2024-11-08,Ice Cream,desserts,30.03,24.32,6.17,Friday,0,rainy,16.5,none,187,11,5.53,166.04,34.14
